short;long
IPSJ Trans. Syst. LSI Des. Methodol.;IPSJ Transactions on System LSI Design Methodology
Iran J. Comput. Sci.;Iran Journal of Computer Science
Inf. Resour. Manag. J.;Information Resources Management Journal
ISC Int. J. Inf. Secur.;ISC International Journal of Information Security
Inf. Syst. E Bus. Manag.;Information Systems and E-Business Management
ISPRS Int. J. Geo Inf.;ISPRS International Journal of Geo-Information
Intell. Syst. Appl.;Intelligent Systems with Applications
it Inf. Technol.;Informationstechnik und Technische Informatik
Int. J. IT Bus. Alignment Gov.;International Journal of IT/Business Alignment and Governance
IT Prof.;IT Professional
Int. J. IT Stand. Stand. Res.;International Journal of IT Standards and Standardization Research
Int. Trans. Oper. Res.;International Transactions in Operational Research
Interact. Comput.;Interacting with Computers
IxD&A;Interaction Design & Architecture
J. Adv. Comput. Intell. Intell. Informatics;Journal of Advanced Computational Intelligence and Intelligent Informatics
J. Adv. Eng. Comput.;Journal of Advanced Engineering and Computation
J. Artif. Intell. Res.;Journal of Artificial Intelligence Research
J. Assoc. Inf. Syst.;Journal of the Association for Information Systems
J. Artif. Intell. Soft Comput. Res.;Journal of Artificial Intelligence and Soft Computing Research
J. Appl. Math. Comput.;Journal of Applied Mathematics and Computing
J. Am. Medical Informatics Assoc.;Journal of the American Medical Informatics Association
J. Autom. Mob. Robotics Intell. Syst.;Journal of Automation, Mobile Robotics and Intelligent Systems
Syst. Comput. Jpn.;Systems and Computers in Japan
J. Assoc. Inf. Sci. Technol.;Journal of the American Society for Information Science and Technology  – American Documentation
J. Comput. Biol.;Journal of Computational Biology
ACM J. Comput. Documentation;ACM Journal of Computer Documentation
J. Comput. Graph. Stat.;Journal of Computational and Graphical Statistics
J. Comput. Inf. Syst.;Journal of Computer Information Systems
J. Cases Inf. Technol.;Journal of Cases on Information Technology
J. Comput. Sci.;Journal of Computer Science
J. Comput. Sci. Technol.;Journal of Computer Science and Technology
J. Comput. Sci. Eng.;Journal of Computing Science and Engineering
J. Comput. Soc. Sci.;Journal of Computational Social Science
J. Comput. Syst. Sci.;Journal of Computer and System Sciences
J. Comput. Sci. Technol.;Journal of Computer Science and Technology
J. Data Inf. Sci.;Journal of Data and Information Science
J. Data Min. Digit. Humanit.;Journal of Data Mining & Digital Humanities
J. Data Sci. Stat. Vis.;Journal of Data Science, Statistics, and Visualisation
ACM J. Exp. Algorithmics;ACM Journal of Experimental Algorithmics
J. Electron. Commer. Organ.;Journal of Electronic Commerce in Organizations
J. Electron. Publ.;Journal of Electronic Publishing
J. Exp. Theor. Artif. Intell.;Journal of Experimental and Theoretical Artificial Intelligence
J. Glob. Inf. Manag.;Journal of Global Information Management
J. Inf. Data Manag.;Journal of Information and Data Management
J. Inf. Hiding Multim. Signal Process.;Journal of Information Hiding and Multimedia Signal Processing
J. Intell. Inf. Syst.;Journal of Intelligent Information Systems
J. Intell. Learn. Syst. Appl.;Journal of Intelligent Learning Systems and Applications
J. Inf. Law Technol.;Journal of Information, Law and Technology
J. Integer Seq.;Journal of Integer Sequences
J. Interact. Syst.;Journal on Interactive Systems
J. Internet Serv. Inf. Secur.;Journal of Internet Services and Information Security
J. Inf. Telecommun.;Journal of Information and Telecommunication
J. Inf. Technol. Educ. Discuss. Cases;Journal of Information Technology Education: Discussion Cases
J. Inf. Technol. Educ. Innov. Pract.;Journal of Information Technology Education: Innovations in Practice
J. Inf. Technol. Educ. Res.;Journal of Information Technology Education
J. Inf. Technol. Manag.;Journal of Information Technology Management
J. Inf. Technol. Res.;Journal of Information Technology Research
J. Inf. Technol. Theory Appl.;Journal of Information Technology Theory and Application
J. Learn. Anal.;Journal of Learning Analytic
J. Lang. Technol. Comput. Linguistics;LDV Forum
J. Membr. Comput.;Journal of Membrane Computing
J. Medical Imaging Health Informatics;Journal of Medical Imaging and Health Informatics
J. Multim. Inf. Syst.;Journal of Multimedia Information System
J. Mach. Learn. Res.;Journal of Machine Learning Research
J. Mobile Multimedia;Journal of Mobile Multimedia
J. Netw. Intell.;Journal of Network Intelligence
J. Next Gener. Inf. Technol.;Journal of Next Generation Information Technology
J. Comput. Geom.;Journal of Computational Geometry
J. Opt. Commun. Netw.;Journal of Optical Communications and Networking
J. Digit. Inf.;Journal of Digital Information
Int. J. Digit. Libr.;International Journal on Digital Libraries
J. Organ. End User Comput.;Journal of Organizational and End User Computing
J. Game Dev.;Journal of Game Development
J. Libr. Inf. Sci.;Journal of Librarianship and Information Science
J. Log. Lang. Inf.;Journal of Logic, Language and Information
J. Low Power Electron.;Journal of Low Power Electronics
J. Object Oriented Program.;Journal of Object-Oriented Programming
J. Spatial Inf. Sci.;Journal of Spatial Information Science
J. Open Source Softw.;Journal of Open Source Software
Bell Labs Tech. J.;Bell Labs Technical Journal
Bus. Process. Manag. J.;Business Process Management Journal
CLEI Electron. J.;CLEI electronic journal
Comput. Music. J.;Computer Music Journal
Data Sci. J.;Data Science Journal
Digit. Tech. J.;Digital Technical Journal
J. Lang. Technol. Comput. Linguistics;LDV Forum
AGIT Journal Angew. Geoinformatik;AGIT - Journal für Angewandte Geoinformatik
Int. J. Comput. Simul.;International Journal in Computer Simulation
Inf. Resour. Manag. J.;Information Resources Management Journal
Int. J. 3 D Inf. Model.;International Journal of 3-D Information Modeling
InnovaInt. J. Actor Netw. Theory Technol. Innov.;International Journal of Actor-Network Theory and Technological Innovation
Int. J. Ad Hoc Ubiquitous Comput.;International Journal of Ad Hoc and Ubiquitous Computing
Int. J. Adapt. Resilient Auton. Syst.;International Journal of Adaptive, Resilient and Autonomic Systems
J. Adv. Comput. Intell. Intell. Informatics;Journal of Advanced Computational Intelligence and Intelligent Informatics
Int. J. Adv. Corp. Learn.;International Journal of Advanced Corporate Learning
J. Adv. Eng. Comput.;Journal of Advanced Engineering and Computation
Int. J. Adv. Intell. Paradigms;International Journal of Advanced Intelligence Paradigms
Int. J. Adv. Media Commun.;International Journal of Advanced Media and Communication
Int. J. Adv. Oper. Manag.;International Journal of Advanced Operations Management
Int. J. Adv. Pervasive Ubiquitous Comput.;International Journal of Advanced Pervasive and Ubiquitous Computing
J. Adv. Inf. Fusion;Journal of Advances in Information Fusion
J. Aerosp. Inf. Syst.;Journal of Aerospace Computing, Information, and Communication
Int. J. Agent Technol. Syst.;International Journal of Agent Technologies and Systems
Int. J. Agent Oriented Softw. Eng.;International Journal of Agent-Oriented Software Engineering
Int. J. Agric. Environ. Inf. Syst.;International Journal of Agricultural and Environmental Information Systems
Int. J. Algebra Comput.;International Journal of Algebra and Computation
J. Algorithms;Journal of Algorithms
Int. J. Ambient Comput. Intell.;International Journal of Ambient Computing and Intelligence
J. Ambient Intell. Humaniz. Comput.;Journal of Ambient Intelligence and Humanized Computing
J. Ambient Intell. Smart Environ.;Journal of Ambient Intelligence and Smart Environments
J. Appl. Comput. Topol.;Journal of Applied and Computational Topology
Int. J. Appl. Cryptogr.;International Journal of Applied Cryptography
Int. J. Appl. Decis. Sci.;International Journal of Applied Decision Sciences
Int. J. Appl. Evol. Comput.;International Journal of Applied Evolutionary Computation
Int. J. Appl. Geospat. Res.;International Journal of Applied Geospatial Research
J. Appl. Log.;Journal of Applied Logic
Int. J. Appl. Logist.;International Journal of Applied Logistics
J. Appl. Math.;Journal of Applied Mathematics
J. Appl. Math. Comput.;Journal of Applied Mathematics and Computing
Int. J. Appl. Metaheuristic Comput.;International Journal of Applied Metaheuristic Computing
J. Appl. Non Class. Logics;Journal of Applied Non-Classical Logics
Int. J. Appl. Pattern Recognit.;International Journal of Applied Pattern Recognition
J. Appl. Probab.;Journal of Applied Probability
J. Approx. Theory;Journal of Approximation Theory
Int. J. Art Cult. Des. Technol.;International Journal of Art, Culture and Design Technologies
J. Artif. Gen. Intell.;Journal of Artificial General Intelligence
J. Artif. Intell. Conscious.;International Journal of Machine Consciousness
Int. J. Artif. Intell. Soft Comput.;International Journal of Artificial Intelligence and Soft Computing
J. Artif. Intell. Soft Comput. Res.;Journal of Artificial Intelligence and Soft Computing Research
Int. J. Artif. Intell. Educ.;International Journal of Artificial Intelligence in Education
J. Artif. Intell. Res.;Journal of Artificial Intelligence Research
J. Artif. Soc. Soc. Simul.;The Journal of Artificial Societies and Social Simulation
Int. J. Arts Technol.;International Journal of Arts and Technology
Int. J. Asian Bus. Inf. Manag.;International Journal of Asian Business and Information Management
Int. J. Asian Lang. Process.;Journal of Chinese Language and Computing – Communications of COLIPS
J. Autom. Lang. Comb.;Journal of Automata, Languages and Combinatorics
J. Autom. Reason.;Journal of Automated Reasoning
IEEE CAA J. Autom. Sinica;IEEE/CAA Journal of Automatica Sinica
Int. J. Autom. Control.;International Journal of Automation and Control
J. Autom. Mob. Robotics Intell. Syst.;Journal of Automation, Mobile Robotics and Intelligent Systems
Int. J. Autom. Technol.;International Journal of Automation Technology
